Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,39.009998,40.380001,38.299999,40.180000,36.829857,15929500
2022-09-20,40.299999,40.970001,40.160000,40.790001,37.388992,17350700
2022-09-21,40.970001,41.049999,40.270000,40.500000,37.123169,12284500
2022-09-22,40.750000,41.430000,40.090000,41.240002,37.801476,14399000
2022-09-23,40.799999,40.900002,40.080002,40.730000,37.333992,17071200
2022-09-26,40.299999,40.439999,39.000000,39.029999,35.775742,8589400
2022-09-27,38.740002,38.910000,38.490002,38.540001,35.326591,11119800
2022-09-28,38.450001,38.980000,38.180000,38.549999,35.335762,11437100
2022-09-29,38.099998,38.490002,37.860001,38.340000,35.143272,18554800
2022-09-30,38.259998,39.029999,37.720001,38.520000,35.308266,20547800
2022-10-03,41.049999,42.200001,40.500000,41.459999,38.003132,45139700
2022-10-04,42.020000,42.450001,38.880001,39.230000,35.959068,27686900
2022-10-05,39.259998,40.349998,38.740002,39.860001,36.536537,22425000
2022-10-06,40.200001,40.770000,39.849998,40.570000,37.187340,18177800
2022-10-07,40.560001,40.810001,40.110001,40.660000,37.269833,13562000
2022-10-10,41.070000,41.360001,39.799999,40.070000,36.729023,11524600
2022-10-11,39.790001,40.070000,38.849998,39.110001,35.849075,14612900
2022-10-13,38.799999,39.860001,38.070000,39.380001,36.096554,15142400
2022-10-14,39.660000,40.180000,38.680000,39.160000,35.894905,12511400
2022-10-17,39.299999,39.840000,38.860001,39.490002,36.197384,10038600
2022-10-18,39.959999,41.520000,39.759998,39.950001,36.619030,21741600
2022-10-19,41.369999,41.790001,41.000000,41.650002,38.177288,12728500
2022-10-20,41.900002,43.680000,41.700001,43.599998,39.964695,35376600
2022-10-21,43.419998,44.939999,43.169998,44.680000,40.954655,32082800
2022-10-24,43.619999,43.680000,40.200001,40.200001,36.848186,37664600
2022-10-25,40.099998,40.470001,39.169998,39.509998,36.215721,21368200
2022-10-26,39.110001,39.139999,37.180000,38.110001,34.932449,32074200
2022-10-27,38.500000,39.400002,38.320000,38.590000,35.372425,20827100
2022-10-28,38.240002,38.900002,37.950001,38.820000,35.583248,20428000
2022-10-31,36.660000,38.330002,36.009998,37.020000,33.933331,50766800
2022-11-01,37.400002,38.799999,36.900002,37.900002,34.739952,24640300
2022-11-03,39.000000,39.029999,37.200001,38.689999,35.464085,30417900
2022-11-04,38.959999,39.980000,38.810001,39.259998,35.986565,27290400
2022-11-07,38.910000,39.189999,37.619999,37.889999,34.730789,23671200
2022-11-08,37.779999,38.299999,37.320000,38.070000,34.895782,14742300
2022-11-09,37.639999,38.560001,36.919998,37.060001,33.969997,18987500
